dataset,image,psnr,ssim,lpips,niqe,musiq,clipiqa
DIV2K-Val,0801,31.511488,0.880580,0.241375,6.054229,60.478378,0.471019
DIV2K-Val,0802,37.692795,0.926377,0.114224,7.398506,64.968994,0.740199
DIV2K-Val,0803,44.527840,0.985330,0.074157,6.272164,70.613396,0.670959
DIV2K-Val,0804,29.649456,0.836471,0.249102,4.276119,66.509285,0.531922
DIV2K-Val,0805,30.049934,0.807262,0.456318,6.419939,57.846264,0.526346
DIV2K-Val,0806,31.544880,0.903021,0.164865,4.215883,63.935120,0.676819
DIV2K-Val,0807,22.017990,0.576921,0.446162,4.135019,66.195030,0.642915
DIV2K-Val,0808,28.508463,0.834646,0.264108,4.930092,55.713333,0.589499
DIV2K-Val,0809,34.114353,0.888018,0.221541,6.271393,56.918686,0.585759
DIV2K-Val,0810,28.301523,0.820722,0.371535,5.082262,59.378365,0.642317
DIV2K-Val,0811,30.511625,0.821356,0.386356,6.238407,36.260090,0.532702
DIV2K-Val,0812,29.890518,0.852918,0.236041,4.750135,60.458157,0.537949
DIV2K-Val,0813,33.278740,0.905762,0.232969,5.407059,59.120819,0.561469
DIV2K-Val,0814,30.888077,0.930355,0.126569,5.304879,55.973534,0.430651
DIV2K-Val,0815,37.224632,0.942640,0.201687,5.794375,52.472694,0.471280
DIV2K-Val,0816,33.387310,0.870041,0.280549,5.460905,63.016300,0.359936
DIV2K-Val,0817,34.441818,0.911530,0.225146,5.693089,57.769970,0.535406
DIV2K-Val,0818,31.158649,0.926777,0.146338,5.187135,59.450596,0.526810
DIV2K-Val,0819,30.083424,0.855788,0.205980,4.864258,68.060799,0.444833
DIV2K-Val,0820,27.519749,0.853697,0.182057,4.447726,66.474144,0.352388
DIV2K-Val,0821,34.879429,0.950958,0.055636,4.844000,54.153999,0.527158
DIV2K-Val,0822,32.671448,0.899075,0.158236,5.128029,69.440308,0.531675
DIV2K-Val,0823,27.975595,0.855147,0.219133,4.520319,64.083176,0.445808
DIV2K-Val,0824,30.610960,0.914561,0.176765,4.824481,60.405190,0.642887
DIV2K-Val,0825,29.530191,0.858572,0.222953,4.514100,62.778809,0.364566
DIV2K-Val,0826,26.092838,0.811924,0.240740,4.053085,65.880486,0.414120
DIV2K-Val,0827,35.729900,0.912927,0.311205,5.991199,55.280022,0.374809
DIV2K-Val,0828,26.690807,0.971461,0.021226,6.430495,57.044987,0.676236
DIV2K-Val,0829,28.016727,0.587071,0.558691,5.649450,64.046448,0.694412
DIV2K-Val,0830,26.473972,0.773618,0.286009,5.105528,62.267128,0.456405
DIV2K-Val,0831,33.263718,0.920130,0.143736,4.914725,63.936966,0.258621
DIV2K-Val,0832,33.529457,0.914438,0.147262,5.133363,59.570950,0.437718
DIV2K-Val,0833,36.349274,0.930287,0.327733,6.600726,63.748154,0.535115
DIV2K-Val,0834,27.148188,0.809063,0.252322,5.139009,47.984116,0.410109
DIV2K-Val,0835,24.595848,0.645298,0.498138,5.235188,43.427231,0.480115
DIV2K-Val,0836,28.078955,0.845597,0.168219,5.004023,64.780724,0.357680
DIV2K-Val,0837,28.356398,0.869544,0.176864,4.109055,67.612343,0.312380
DIV2K-Val,0838,39.606457,0.931469,0.385137,7.367391,46.275688,0.586566
DIV2K-Val,0839,30.549841,0.841359,0.288246,6.626745,59.767014,0.629586
DIV2K-Val,0840,30.204044,0.843285,0.282629,5.056155,56.414997,0.679087
DIV2K-Val,0841,30.343103,0.895180,0.186264,4.527206,62.712372,0.402461
DIV2K-Val,0842,31.797012,0.884753,0.214336,5.256262,51.167168,0.636793
DIV2K-Val,0843,44.239296,0.986246,0.052138,8.397972,56.498039,0.723143
DIV2K-Val,0844,48.579948,0.993464,0.034262,7.192067,55.594383,0.693963
DIV2K-Val,0845,28.146780,0.860335,0.263723,4.350794,63.855251,0.547197
DIV2K-Val,0846,28.420027,0.849595,0.178828,4.646549,54.476944,0.479201
DIV2K-Val,0847,30.349194,0.874788,0.179973,3.968972,68.369316,0.443263
DIV2K-Val,0848,29.156975,0.786543,0.336093,4.990144,69.606041,0.678801
DIV2K-Val,0849,24.444944,0.820420,0.197977,4.355228,60.239773,0.638871
DIV2K-Val,0850,31.306644,0.875528,0.216413,4.757459,66.279274,0.409406
DIV2K-Val,0851,30.512730,0.907738,0.170998,4.767273,69.768806,0.682748
DIV2K-Val,0852,31.494543,0.861309,0.241636,4.677964,50.161663,0.474995
DIV2K-Val,0853,37.022156,0.958646,0.165125,6.013812,58.931938,0.536775
DIV2K-Val,0854,26.540529,0.774674,0.275316,4.436855,64.932114,0.358913
DIV2K-Val,0855,31.097160,0.796302,0.491220,4.648303,71.538345,0.628013
DIV2K-Val,0856,27.895906,0.761508,0.394162,5.116320,46.134033,0.489323
DIV2K-Val,0857,36.511745,0.836988,0.636178,8.391198,46.122982,0.618423
DIV2K-Val,0858,30.110712,0.821670,0.312354,5.239316,63.968224,0.573821
DIV2K-Val,0859,27.233917,0.747766,0.332744,4.771574,62.643990,0.586752
DIV2K-Val,0860,22.217396,0.667615,0.403745,4.450390,60.861221,0.543112
DIV2K-Val,0861,25.055965,0.814808,0.214784,4.626349,51.719185,0.376611
DIV2K-Val,0862,34.710152,0.860227,0.432809,6.148502,54.032009,0.657897
DIV2K-Val,0863,34.804798,0.918184,0.194674,6.327425,63.673443,0.550621
DIV2K-Val,0864,31.597879,0.821948,0.333997,5.476004,51.413528,0.334792
DIV2K-Val,0865,28.875347,0.794794,0.376970,5.113319,58.392262,0.432558
DIV2K-Val,0866,26.846560,0.833834,0.300684,6.082668,61.891891,0.519796
DIV2K-Val,0867,30.421413,0.892592,0.172541,4.660632,67.681664,0.356763
DIV2K-Val,0868,34.785595,0.967215,0.047231,6.223738,62.064533,0.716398
DIV2K-Val,0869,25.421364,0.823898,0.275546,4.429640,60.015209,0.585349
DIV2K-Val,0870,30.427740,0.875190,0.267903,5.990058,53.778954,0.520762
DIV2K-Val,0871,34.512924,0.927441,0.154956,5.022114,63.485115,0.398017
DIV2K-Val,0872,25.657860,0.738244,0.351899,4.563840,68.416290,0.568024
DIV2K-Val,0873,26.067322,0.790298,0.270593,4.001976,66.202690,0.311253
DIV2K-Val,0874,32.021240,0.833364,0.280792,5.038776,64.355186,0.390300
DIV2K-Val,0875,25.981100,0.715267,0.315942,4.891830,55.191353,0.230768
DIV2K-Val,0876,23.551367,0.641819,0.440412,3.838924,66.497841,0.502887
DIV2K-Val,0877,42.861580,0.980084,0.072883,8.570428,60.501537,0.550806
DIV2K-Val,0878,34.284306,0.919174,0.196441,5.298790,60.581936,0.523285
DIV2K-Val,0879,29.335533,0.896488,0.141528,4.758023,64.894417,0.457592
DIV2K-Val,0880,33.991779,0.920233,0.165471,5.561530,63.472183,0.599835
DIV2K-Val,0881,27.943466,0.811021,0.268497,5.238083,57.742001,0.557000
DIV2K-Val,0882,36.129013,0.965604,0.115115,6.547795,59.421898,0.402269
DIV2K-Val,0883,28.659580,0.800480,0.276693,6.354502,50.530479,0.376980
DIV2K-Val,0884,28.846069,0.818788,0.259868,4.212253,66.229233,0.269760
DIV2K-Val,0885,24.975246,0.688856,0.395281,4.067826,58.136108,0.471914
DIV2K-Val,0886,39.197151,0.942934,0.307097,6.491698,62.006863,0.479678
DIV2K-Val,0887,26.566038,0.782915,0.278802,5.205028,64.241127,0.540931
DIV2K-Val,0888,32.760345,0.911241,0.174297,5.250998,57.858231,0.372084
DIV2K-Val,0889,33.505142,0.933389,0.130273,5.444140,70.612312,0.605270
DIV2K-Val,0890,26.812975,0.768075,0.308120,4.925703,68.844818,0.499575
DIV2K-Val,0891,29.301399,0.874093,0.160407,4.725543,70.362015,0.546957
DIV2K-Val,0892,33.996185,0.950676,0.087661,5.683683,58.936241,0.524561
DIV2K-Val,0893,35.202118,0.857668,0.449003,6.099482,51.243256,0.451657
DIV2K-Val,0894,33.781696,0.915134,0.182609,5.266696,71.068146,0.741708
DIV2K-Val,0895,21.915977,0.614197,0.466100,4.815901,69.525124,0.580103
DIV2K-Val,0896,41.790997,0.963449,0.157689,6.688178,56.308075,0.698365
DIV2K-Val,0897,23.581049,0.748726,0.303192,5.303149,52.190552,0.564708
DIV2K-Val,0898,36.980556,0.938005,0.250579,6.121882,69.102928,0.740939
DIV2K-Val,0899,34.567398,0.941391,0.079189,5.870689,58.599888,0.639549
DIV2K-Val,0900,30.398771,0.899904,0.160013,4.697861,65.526680,0.375918
